DmBraiPF	DmBraiYF	DmFaboPF	DmFaboYF	DmGutPF	DmGutYF	DmLipoPF	DmLipoYF	DmSaglPF	DmSaglYF	DmWidsPF	DmWidsYF
PI 30:1	NA	0.17249	0.17588	2.36461	0.13551	1.35606	NA	NA	NA	0.49256	NA	0.67369
PI 30:2	NA	NA	0.25541	0.05705	0.16832	0.29993	NA	NA	NA	0.04779	NA	NA
PI 31:1	NA	NA	NA	NA	NA	0.20708	NA	NA	NA	NA	NA	NA
PI 32:1	0.04003	1.68507	0.62244	10.49736	0.38356	6.06005	NA	0.90678	0.09231	3.38459	0.03877	4.26791
PI 32:2	0.01766	0.91115	3.59925	2.99154	1.14733	4.07050	NA	0.10158	0.21991	3.12895	0.08920	2.49046
PI 32:3	NA	NA	NA	NA	0.23946	0.01101	NA	NA	NA	NA	NA	NA
PI 32:4	NA	NA	NA	NA	0.03183	0.03755	NA	NA	NA	NA	NA	NA
PI 33:1	NA	NA	NA	0.11975	NA	0.23048	NA	NA	NA	NA	NA	NA
PI 33:2	NA	NA	NA	NA	0.14208	0.06385	NA	NA	NA	NA	NA	NA
PI 34:1	0.02496	0.88944	NA	3.04410	NA	1.48549	NA	0.34408	0.07919	1.44212	NA	1.28377
PI 34:2	0.73926	4.25367	9.85227	3.91750	6.13244	6.98171	0.13359	0.15856	3.32463	16.61715	1.66453	14.29308
PI 34:3	1.96013	0.54661	1.54457	0.14655	1.60330	0.41469	NA	NA	2.03000	0.77826	1.23981	0.65368
PI 34:4	0.26310	0.19948	NA	0.42026	0.29018	0.20681	NA	NA	0.22539	0.21229	0.11263	0.20440
PI 34:5	NA	NA	NA	0.10054	0.03930	0.13484	NA	NA	NA	0.09642	NA	0.07909
PI 35:1	NA	NA	NA	NA	NA	0.05675	NA	NA	NA	NA	NA	NA
PI 35:2	NA	NA	NA	NA	0.13238	0.04505	NA	NA	NA	NA	NA	NA
PI 36:1	NA	NA	NA	NA	NA	0.25268	NA	NA	NA	NA	NA	NA
PI 36:2	0.22067	0.66071	NA	0.43337	1.15204	1.14092	NA	NA	0.75915	1.18592	0.75787	1.17400
PI 36:3	1.55745	0.86862	0.90126	0.14011	4.54312	0.58220	NA	NA	5.00624	2.87663	2.76799	2.24872
PI 36:4	2.57676	0.53081	NA	0.12328	1.75518	0.17105	NA	NA	2.84073	0.61254	1.43842	0.30906
PI 36:5	0.61891	0.15037	0.33125	0.11028	0.48652	0.19566	NA	NA	1.19435	0.50436	NA	NA
PI 36:6	0.30011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI 38:4	NA	NA	NA	NA	NA	0.12767	NA	NA	NA	NA	NA	NA
PI 38:5	NA	NA	NA	NA	0.02261	0.09509	NA	NA	NA	NA	NA	NA
PI 38:6	NA	NA	NA	NA	0.11687	0.01364	NA	NA	NA	NA	NA	NA
PI 38:7	NA	NA	NA	NA	0.04271	NA	NA	NA	NA	NA	NA	NA
PS 28:0	NA	NA	NA	NA	0.79714	0.31420	NA	NA	2.00093	0.58534	NA	NA
PS 30:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03357	NA	NA
PS 32:1	0.03530	0.40391	NA	0.10064	0.11244	0.22955	NA	NA	NA	0.36473	0.15598	0.70275
PS 32:2	NA	0.13914	NA	NA	0.24858	0.05639	NA	NA	NA	0.07399	NA	0.21466
PS 34:1	0.99340	1.57924	NA	0.21323	1.03434	1.00957	NA	NA	0.66365	0.67654	1.57039	2.07681
PS 34:2	0.58471	4.03989	0.53161	1.10619	0.53898	1.50325	NA	NA	1.39250	1.99068	1.40076	4.29977
PS 34:3	0.43681	0.10101	NA	NA	NA	NA	NA	NA	NA	NA	0.21290	0.03106
PS 36:1	1.35199	1.16092	NA	NA	1.79920	0.96459	NA	NA	0.12546	0.06625	0.58067	0.26299
PS 36:2	5.06644	11.59894	0.78652	2.37489	5.02945	7.03546	NA	NA	1.87561	2.89302	4.87203	13.29027
PS 36:3	6.01520	0.85782	0.97434	NA	1.92030	0.16951	NA	NA	2.00169	0.13832	3.85768	0.48841
PS 36:4	3.78516	0.67282	NA	NA	0.32343	0.02145	NA	NA	0.32141	NA	1.30288	0.10478
PS 36:5	1.01543	0.11557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
